transaction_id,date,account,counterparty,category,subcategory,description,amount,inflow,outflow,currency,payment_method,reference,tags,cleared,reconciled,notes,balance
T00077,2025-01-23,Credit Card,Music Service,Expense,Subscriptions,Music Service charge,-9.99,0.0,9.99,USD,Credit Card,REF-341822,recurring|subscription,True,True,,-431.0
T00078,2025-01-23,Credit Card,Music Service,Expense,Subscriptions,Music Service charge,-9.99,0.0,9.99,USD,Credit Card,REF-312995,recurring|subscription,True,True,,-440.99
T00079,2025-01-24,Checking,Fuel Station,Expense,Fuel,Fuel Station purchase,-33.99,0.0,33.99,USD,Debit Card,REF-194750,transport|commute,True,True,,1265.99
T00080,2025-01-24,Checking,Fuel Station,Expense,Fuel,Fuel Station purchase,-79.48,0.0,79.48,USD,Debit Card,REF-923739,transport|commute,True,True,,1186.51
T00206,2025-01-24,Checking,Retailer Refund,Refund,Return,Refund for returned item,45.0,45.0,0.0,USD,ACH,REF-469120,refund|one-time,True,True,,1231.51
T00081,2025-01-24,Credit Card,Bookstore,Expense,Education,Bookstore charge,-25.74,0.0,25.74,USD,Credit Card,REF-510091,education,True,True,,-466.73
T00082,2025-01-24,Credit Card,Music Service,Expense,Subscriptions,Music Service charge,-9.99,0.0,9.99,USD,Credit Card,REF-203940,recurring|subscription,True,True,,-476.72
T00083,2025-01-26,Checking,Grocery Mart,Expense,Groceries,Grocery Mart purchase,-116.63,0.0,116.63,USD,Debit Card,REF-148043,necessity|food,True,True,,1114.88
T00084,2025-01-26,Checking,Grocery Mart,Expense,Groceries,Grocery Mart purchase,-74.29,0.0,74.29,USD,Debit Card,REF-813385,necessity|food,True,True,,1040.5900000000001
T00085,2025-01-26,Credit Card,Video Streaming,Expense,Subscriptions,Video Streaming charge,-14.99,0.0,14.99,USD,Credit Card,REF-900204,recurring|subscription,True,True,,-491.71000000000004
T00086,2025-01-26,Credit Card,Online Retailer,Expense,Shopping,Online Retailer charge,-77.36,0.0,77.36,USD,Credit Card,REF-313070,discretionary|shopping,True,True,,-569.07
T00087,2025-01-28,Credit Card,Music Service,Expense,Subscriptions,Music Service charge,-9.99,0.0,9.99,USD,Credit Card,REF-183988,recurring|subscription,True,True,,-579.0600000000001
T00088,2025-01-29,Checking,ATM Withdrawal,Expense,Cash,ATM Withdrawal purchase,-44.16,0.0,44.16,USD,ATM,REF-853417,cash,True,True,,996.4300000000001
T00089,2025-01-29,Checking,Coffee Shop,Expense,Dining,Coffee Shop purchase,-16.64,0.0,16.64,USD,Debit Card,REF-859216,discretionary|snack,False,False,,979.79
T00090,2025-01-30,Checking,Restaurant,Expense,Dining,Restaurant purchase,-71.77,0.0,71.77,USD,Debit Card,REF-765137,discretionary|dining,True,True,,908.02
T00091,2025-01-30,Checking,Coffee Shop,Expense,Dining,Coffee Shop purchase,-11.5,0.0,11.5,USD,Debit Card,REF-221096,discretionary|snack,True,True,,896.52
T00092,2025-01-30,Credit Card,Bookstore,Expense,Education,Bookstore charge,-43.96,0.0,43.96,USD,Credit Card,REF-516518,education,True,True,,-623.0200000000001
T00093,2025-01-30,Credit Card,Online Retailer,Expense,Shopping,Online Retailer charge,-52.15,0.0,52.15,USD,Credit Card,REF-643759,discretionary|shopping,True,True,,-675.1700000000001
T00003,2025-01-31,Checking,Employer Inc.,Income,Salary,Direct deposit Jan 2025 - 2nd half,3800.0,3800.0,0.0,USD,ACH,REF-762176,recurring|payroll,False,False,,4696.52
T00094,2025-01-31,Credit Card,Airline,Expense,Travel,Airline charge,-251.9,0.0,251.9,USD,Credit Card,REF-430760,travel,True,True,,-927.07
T00011,2025-01-31,Savings,Bank Interest,Income,Interest,Monthly interest Jan 2025,15.69,15.69,0.0,USD,Bank Posting,REF-427515,recurring|interest,True,True,,10515.69
T00012,2025-02-01,Checking,Landlord LLC,Expense,Rent,Monthly rent Feb 2025,-1800.0,0.0,1800.0,USD,ACH,REF-520048,recurring|housing,True,True,,2896.52
T00095,2025-02-01,Credit Card,Video Streaming,Expense,Subscriptions,Video Streaming charge,-14.99,0.0,14.99,USD,Credit Card,REF-703758,recurring|subscription,True,False,,-942.0600000000001
T00096,2025-02-01,Credit Card,Rideshare,Expense,Transport,Rideshare charge,-27.24,0.0,27.24,USD,Credit Card,REF-924712,transport,True,True,,-969.3000000000001
T00097,2025-02-02,Checking,Grocery Mart,Expense,Groceries,Grocery Mart purchase,-126.15,0.0,126.15,USD,Debit Card,REF-863703,necessity|food,True,True,,2770.37
T00098,2025-02-02,Checking,Pharmacy,Expense,Healthcare,Pharmacy purchase,-41.65,0.0,41.65,USD,Debit Card,REF-131632,health|personal,True,True,,2728.72
T00018,2025-02-03,Checking,My Savings,Transfer,Transfer Out,Automatic savings transfer Feb 2025,-500.0,0.0,500.0,USD,Online Transfer,TRF-849409,recurring|savings,True,True,,2228.7200000000003
T00099,2025-02-03,Checking,Grocery Mart,Expense,Groceries,Grocery Mart purchase,-158.41,0.0,158.41,USD,Debit Card,REF-725317,necessity|food,True,True,,2070.31
T00100,2025-02-03,Credit Card,Rideshare,Expense,Transport,Rideshare charge,-37.03,0.0,37.03,USD,Credit Card,REF-185586,transport,True,False,,-1006.33
T00019,2025-02-03,Savings,My Checking,Transfer,Transfer In,Automatic savings transfer Feb 2025,500.0,500.0,0.0,USD,Online Transfer,TRF-849409,recurring|savings,True,True,,11015.69
T00101,2025-02-04,Checking,Coffee Shop,Expense,Dining,Coffee Shop purchase,-17.42,0.0,17.42,USD,Debit Card,REF-223666,discretionary|snack,True,True,,2052.89
T00102,2025-02-04,Checking,ATM Withdrawal,Expense,Cash,ATM Withdrawal purchase,-102.61,0.0,102.61,USD,ATM,REF-181094,cash,True,False,,1950.2800000000002
T00015,2025-02-05,Checking,City Electric,Expense,Utilities,Electricity bill Feb 2025,-120.0,0.0,120.0,USD,ACH,REF-516646,recurring|utilities,True,True,,1830.2800000000002
T00103,2025-02-05,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-19.28,0.0,19.28,USD,Debit Card,REF-631067,local|food,True,True,,1811.0
T00104,2025-02-05,Checking,Restaurant,Expense,Dining,Restaurant purchase,-58.9,0.0,58.9,USD,Debit Card,REF-711347,discretionary|dining,True,True,,1752.1000000000001
T00105,2025-02-05,Credit Card,Bookstore,Expense,Education,Bookstore charge,-75.41,0.0,75.41,USD,Credit Card,REF-312137,education,True,True,,-1081.74
T00106,2025-02-06,Checking,Coffee Shop,Expense,Dining,Coffee Shop purchase,-17.04,0.0,17.04,USD,Debit Card,REF-749101,discretionary|snack,True,True,,1735.0600000000002
T00107,2025-02-07,Checking,Restaurant,Expense,Dining,Restaurant purchase,-50.12,0.0,50.12,USD,Debit Card,REF-692076,discretionary|dining,True,True,,1684.94
T00207,2025-02-07,Checking,Bank Fee,Fee,Account Fee,Monthly maintenance fee,-12.0,0.0,12.0,USD,Bank Posting,REF-637716,fees|bank,True,True,,1672.94
T00108,2025-02-07,Credit Card,Movie Theater,Expense,Entertainment,Movie Theater charge,-46.14,0.0,46.14,USD,Credit Card,REF-400273,discretionary|entertainment,True,True,,-1127.88
T00109,2025-02-07,Credit Card,Airline,Expense,Travel,Airline charge,-251.11,0.0,251.11,USD,Credit Card,REF-965166,travel,True,True,,-1378.9900000000002
T00110,2025-02-09,Checking,Grocery Mart,Expense,Groceries,Grocery Mart purchase,-92.88,0.0,92.88,USD,Debit Card,REF-258399,necessity|food,True,True,,1580.0600000000002
T00111,2025-02-09,Checking,Grocery Mart,Expense,Groceries,Grocery Mart purchase,-170.1,0.0,170.1,USD,Debit Card,REF-597693,necessity|food,True,True,,1409.9600000000003
T00020,2025-02-10,Checking,Affinity Card Services,Transfer,Credit Card Payment,Credit card payment Feb 2025,-1200.0,0.0,1200.0,USD,ACH,CCPAY-857521,recurring|debt,True,True,,209.96000000000004
T00112,2025-02-10,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-59.4,0.0,59.4,USD,Debit Card,REF-481422,local|food,True,False,,150.55999999999995
T00203,2025-02-10,Checking,Retailer Refund,Refund,Return,Refund for returned item,45.0,45.0,0.0,USD,ACH,REF-371864,refund|one-time,True,True,,195.55999999999995
T00021,2025-02-10,Credit Card,From Checking,Transfer,Payment Received,Payment received Feb 2025,1200.0,1200.0,0.0,USD,ACH,CCPAY-857521,recurring|debt,True,True,,-178.99000000000024
T00113,2025-02-11,Credit Card,Movie Theater,Expense,Entertainment,Movie Theater charge,-36.21,0.0,36.21,USD,Credit Card,REF-129140,discretionary|entertainment,True,True,,-215.20000000000024
T00114,2025-02-11,Credit Card,Bookstore,Expense,Education,Bookstore charge,-13.02,0.0,13.02,USD,Credit Card,REF-717486,education,True,True,,-228.22000000000025
T00016,2025-02-12,Checking,FiberNet ISP,Expense,Utilities,Internet bill Feb 2025,-75.0,0.0,75.0,USD,ACH,REF-216929,recurring|utilities,True,True,,120.55999999999995
T00115,2025-02-12,Checking,Coffee Shop,Expense,Dining,Coffee Shop purchase,-10.42,0.0,10.42,USD,Debit Card,REF-365822,discretionary|snack,True,True,,110.13999999999987
T00116,2025-02-12,Credit Card,Online Retailer,Expense,Shopping,Online Retailer charge,-199.7,0.0,199.7,USD,Credit Card,REF-926596,discretionary|shopping,True,False,,-427.92000000000024
T00117,2025-02-13,Credit Card,Bookstore,Expense,Education,Bookstore charge,-35.56,0.0,35.56,USD,Credit Card,REF-699173,education,True,True,,-463.48000000000025
T00118,2025-02-13,Credit Card,Movie Theater,Expense,Entertainment,Movie Theater charge,-37.3,0.0,37.3,USD,Credit Card,REF-999193,discretionary|entertainment,True,True,,-500.78000000000026
T00119,2025-02-14,Checking,ATM Withdrawal,Expense,Cash,ATM Withdrawal purchase,-42.32,0.0,42.32,USD,ATM,REF-907329,cash,True,True,,67.81999999999971
T00120,2025-02-14,Checking,Grocery Mart,Expense,Groceries,Grocery Mart purchase,-145.4,0.0,145.4,USD,Debit Card,REF-360017,necessity|food,True,False,,-77.58000000000038
T00121,2025-02-14,Credit Card,Video Streaming,Expense,Subscriptions,Video Streaming charge,-14.99,0.0,14.99,USD,Credit Card,REF-240693,recurring|subscription,True,True,,-515.7700000000002
T00013,2025-02-15,Checking,Employer Inc.,Income,Salary,Direct deposit Feb 2025 - 1st half,3800.0,3800.0,0.0,USD,ACH,REF-429978,recurring|payroll,True,True,,3722.4199999999996
T00122,2025-02-15,Credit Card,Music Service,Expense,Subscriptions,Music Service charge,-9.99,0.0,9.99,USD,Credit Card,REF-645332,recurring|subscription,True,True,,-525.7600000000002
T00123,2025-02-15,Credit Card,Video Streaming,Expense,Subscriptions,Video Streaming charge,-14.99,0.0,14.99,USD,Credit Card,REF-702216,recurring|subscription,True,True,,-540.7500000000002
T00124,2025-02-16,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-56.75,0.0,56.75,USD,Debit Card,REF-837818,local|food,True,True,,3665.6699999999996
T00125,2025-02-16,Checking,ATM Withdrawal,Expense,Cash,ATM Withdrawal purchase,-43.21,0.0,43.21,USD,ATM,REF-854181,cash,True,True,,3622.4599999999996
T00202,2025-02-16,Checking,Retailer Refund,Refund,Return,Refund for returned item,45.0,45.0,0.0,USD,ACH,REF-979426,refund|one-time,True,True,,3667.4599999999996
T00126,2025-02-16,Credit Card,Music Service,Expense,Subscriptions,Music Service charge,-9.99,0.0,9.99,USD,Credit Card,REF-554077,recurring|subscription,True,True,,-550.7400000000002
T00127,2025-02-16,Credit Card,Movie Theater,Expense,Entertainment,Movie Theater charge,-44.34,0.0,44.34,USD,Credit Card,REF-147723,discretionary|entertainment,True,True,,-595.0800000000003
T00204,2025-02-18,Checking,Retailer Refund,Refund,Return,Refund for returned item,45.0,45.0,0.0,USD,ACH,REF-473300,refund|one-time,True,True,,3712.4599999999996
T00128,2025-02-19,Checking,Coffee Shop,Expense,Dining,Coffee Shop purchase,-17.72,0.0,17.72,USD,Debit Card,REF-163181,discretionary|snack,True,True,,3694.74
T00129,2025-02-19,Checking,Coffee Shop,Expense,Dining,Coffee Shop purchase,-4.59,0.0,4.59,USD,Debit Card,REF-654677,discretionary|snack,True,True,,3690.1499999999996
T00209,2025-02-19,Checking,Bank Fee,Fee,Account Fee,Monthly maintenance fee,-12.0,0.0,12.0,USD,Bank Posting,REF-322180,fees|bank,True,True,,3678.1499999999996
T00130,2025-02-19,Credit Card,Movie Theater,Expense,Entertainment,Movie Theater charge,-15.49,0.0,15.49,USD,Credit Card,REF-255814,discretionary|entertainment,True,False,,-610.5700000000003
T00017,2025-02-20,Checking,Municipal Water,Expense,Utilities,Water/Sewer bill Feb 2025,-48.0,0.0,48.0,USD,ACH,REF-244619,recurring|utilities,True,True,,3630.1499999999996
T00131,2025-02-20,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-50.28,0.0,50.28,USD,Debit Card,REF-512704,local|food,True,True,,3579.87
T00132,2025-02-20,Credit Card,Music Service,Expense,Subscriptions,Music Service charge,-9.99,0.0,9.99,USD,Credit Card,REF-230617,recurring|subscription,True,True,,-620.5600000000003
T00133,2025-02-21,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-46.49,0.0,46.49,USD,Debit Card,REF-620214,local|food,True,False,,3533.3799999999997
T00134,2025-02-22,Credit Card,Airline,Expense,Travel,Airline charge,-265.45,0.0,265.45,USD,Credit Card,REF-557516,travel,True,True,,-886.0100000000002
T00135,2025-02-23,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-27.51,0.0,27.51,USD,Debit Card,REF-220685,local|food,True,True,,3505.87
T00136,2025-02-23,Checking,Grocery Mart,Expense,Groceries,Grocery Mart purchase,-119.7,0.0,119.7,USD,Debit Card,REF-238099,necessity|food,True,True,,3386.1699999999996
T00137,2025-02-23,Credit Card,Rideshare,Expense,Transport,Rideshare charge,-16.71,0.0,16.71,USD,Credit Card,REF-928410,transport,True,True,,-902.7200000000003
T00138,2025-02-25,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-36.34,0.0,36.34,USD,Debit Card,REF-415781,local|food,True,True,,3349.8299999999995
T00139,2025-02-25,Credit Card,Movie Theater,Expense,Entertainment,Movie Theater charge,-38.68,0.0,38.68,USD,Credit Card,REF-654978,discretionary|entertainment,True,True,,-941.4000000000002
T00140,2025-02-27,Checking,Restaurant,Expense,Dining,Restaurant purchase,-57.95,0.0,57.95,USD,Debit Card,REF-573738,discretionary|dining,True,True,,3291.8799999999997
T00141,2025-02-27,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-38.07,0.0,38.07,USD,Debit Card,REF-424591,local|food,True,True,,3253.8099999999995
T00014,2025-02-28,Checking,Employer Inc.,Income,Salary,Direct deposit Feb 2025 - 2nd half,3800.0,3800.0,0.0,USD,ACH,REF-970757,recurring|payroll,True,True,,7053.8099999999995
T00142,2025-02-28,Checking,Fuel Station,Expense,Fuel,Fuel Station purchase,-60.22,0.0,60.22,USD,Debit Card,REF-321329,transport|commute,True,True,,6993.589999999999
T00143,2025-02-28,Checking,Fuel Station,Expense,Fuel,Fuel Station purchase,-80.24,0.0,80.24,USD,Debit Card,REF-383005,transport|commute,True,True,,6913.349999999999
T00022,2025-02-28,Savings,Bank Interest,Income,Interest,Monthly interest Feb 2025,16.14,16.14,0.0,USD,Bank Posting,REF-448730,recurring|interest,True,True,,11031.83
T00023,2025-03-01,Checking,Landlord LLC,Expense,Rent,Monthly rent Mar 2025,-1800.0,0.0,1800.0,USD,ACH,REF-600081,recurring|housing,True,True,,5113.349999999999
T00144,2025-03-01,Credit Card,Video Streaming,Expense,Subscriptions,Video Streaming charge,-14.99,0.0,14.99,USD,Credit Card,REF-857793,recurring|subscription,True,True,,-956.3900000000002
T00145,2025-03-01,Credit Card,Video Streaming,Expense,Subscriptions,Video Streaming charge,-14.99,0.0,14.99,USD,Credit Card,REF-757699,recurring|subscription,True,True,,-971.3800000000002
T00029,2025-03-03,Checking,My Savings,Transfer,Transfer Out,Automatic savings transfer Mar 2025,-500.0,0.0,500.0,USD,Online Transfer,TRF-412748,recurring|savings,True,True,,4613.349999999999
T00146,2025-03-03,Checking,Coffee Shop,Expense,Dining,Coffee Shop purchase,-4.21,0.0,4.21,USD,Debit Card,REF-473688,discretionary|snack,True,True,,4609.139999999999
T00147,2025-03-03,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-21.91,0.0,21.91,USD,Debit Card,REF-435035,local|food,True,True,,4587.23
T00148,2025-03-03,Credit Card,Airline,Expense,Travel,Airline charge,-465.03,0.0,465.03,USD,Credit Card,REF-428427,travel,False,False,,-1436.4100000000003
T00030,2025-03-03,Savings,My Checking,Transfer,Transfer In,Automatic savings transfer Mar 2025,500.0,500.0,0.0,USD,Online Transfer,TRF-412748,recurring|savings,True,True,,11531.83
T00149,2025-03-04,Checking,Restaurant,Expense,Dining,Restaurant purchase,-43.66,0.0,43.66,USD,Debit Card,REF-794893,discretionary|dining,True,True,,4543.57
T00150,2025-03-04,Credit Card,Movie Theater,Expense,Entertainment,Movie Theater charge,-36.35,0.0,36.35,USD,Credit Card,REF-449057,discretionary|entertainment,True,True,,-1472.7600000000002
T00151,2025-03-04,Credit Card,Airline,Expense,Travel,Airline charge,-309.03,0.0,309.03,USD,Credit Card,REF-475977,travel,True,True,,-1781.7900000000002
T00026,2025-03-05,Checking,City Electric,Expense,Utilities,Electricity bill Mar 2025,-120.0,0.0,120.0,USD,ACH,REF-523986,recurring|utilities,True,True,,4423.57
T00152,2025-03-05,Checking,Coffee Shop,Expense,Dining,Coffee Shop purchase,-17.85,0.0,17.85,USD,Debit Card,REF-821466,discretionary|snack,True,True,,4405.719999999999
T00153,2025-03-05,Checking,ATM Withdrawal,Expense,Cash,ATM Withdrawal purchase,-51.33,0.0,51.33,USD,ATM,REF-991288,cash,True,True,,4354.389999999999
T00154,2025-03-06,Credit Card,Bookstore,Expense,Education,Bookstore charge,-48.0,0.0,48.0,USD,Credit Card,REF-779796,education,True,True,,-1829.7900000000002
T00155,2025-03-06,Credit Card,Bookstore,Expense,Education,Bookstore charge,-27.02,0.0,27.02,USD,Credit Card,REF-668882,education,True,True,,-1856.8100000000002
T00156,2025-03-09,Checking,Grocery Mart,Expense,Groceries,Grocery Mart purchase,-115.9,0.0,115.9,USD,Debit Card,REF-341985,necessity|food,True,True,,4238.49
